"Election","state_code","state_name","MP_Constituency","Constituency","MP_AC","State_AC","Polling_Station_No","Candidate_Name","Party_Name","No_of_Votes"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","1","RADHAKRISHNAN, C.P.","BJP","314"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","2","RADHAKRISHNAN, C.P.","BJP","313"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","3","RADHAKRISHNAN, C.P.","BJP","331"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","4","RADHAKRISHNAN, C.P.","BJP","85"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","5","RADHAKRISHNAN, C.P.","BJP","210"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","6","RADHAKRISHNAN, C.P.","BJP","156"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","7","RADHAKRISHNAN, C.P.","BJP","120"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","8","RADHAKRISHNAN, C.P.","BJP","226"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","9","RADHAKRISHNAN, C.P.","BJP","346"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","10","RADHAKRISHNAN, C.P.","BJP","124"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","11","RADHAKRISHNAN, C.P.","BJP","210"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","12","RADHAKRISHNAN, C.P.","BJP","228"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","13","RADHAKRISHNAN, C.P.","BJP","152"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","14","RADHAKRISHNAN, C.P.","BJP","121"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","15","RADHAKRISHNAN, C.P.","BJP","219"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","16","RADHAKRISHNAN, C.P.","BJP","237"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","17","RADHAKRISHNAN, C.P.","BJP","175"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","18","RADHAKRISHNAN, C.P.","BJP","224"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","19","RADHAKRISHNAN, C.P.","BJP","194"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","20","RADHAKRISHNAN, C.P.","BJP","214"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","21","RADHAKRISHNAN, C.P.","BJP","311"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","22","RADHAKRISHNAN, C.P.","BJP","181"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","23","RADHAKRISHNAN, C.P.","BJP","239"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","24","RADHAKRISHNAN, C.P.","BJP","190"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","25","RADHAKRISHNAN, C.P.","BJP","197"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","26","RADHAKRISHNAN, C.P.","BJP","266"
